N,meshComplexity,renderingMode,fpsAvg,fps1pcLow,cpuMs,gpuMs,batches,setPassCalls
100,Low,Baseline,1510.61,567.03,0.701,0.363,101,2
500,Low,Baseline,1023.83,473.81,1.017,0.586,501,2
1000,Low,Baseline,687.21,145.36,1.762,0.756,1001,2
5000,Low,Baseline,218.82,115.33,4.633,1.323,5001,2
10000,Low,Baseline,111.87,66.97,9.095,1.630,10001,2
100,Mid,Baseline,1524.04,514.53,0.700,0.337,101,2
500,Mid,Baseline,1013.37,373.23,1.039,0.340,501,2
1000,Mid,Baseline,727.47,294.59,1.421,0.372,1001,2
5000,Mid,Baseline,209.77,89.82,6.831,0.773,5001,2
10000,Mid,Baseline,115.03,78.63,8.714,2.617,10001,2
100,High,Baseline,1138.59,291.23,1.028,0.352,101,2
500,High,Baseline,249.32,81.21,4.783,0.525,501,2
1000,High,Baseline,123.69,82.78,8.171,1.112,1001,2
5000,High,Baseline,28.43,2.02,44.254,8.753,5001,2
10000,High,Baseline,12.36,12.06,80.888,16.493,10001,2
100,Low,GPUInstancing,1188.82,146.19,1.322,0.557,2,2
500,Low,GPUInstancing,1209.41,156.02,1.154,0.630,2,2
1000,Low,GPUInstancing,1183.83,393.90,0.890,0.510,3,2
5000,Low,GPUInstancing,509.66,335.56,1.981,0.790,11,2
10000,Low,GPUInstancing,259.34,139.52,3.898,1.222,21,2
100,Mid,GPUInstancing,1579.83,457.12,0.683,0.276,2,2
500,Mid,GPUInstancing,1322.19,342.14,0.832,0.250,2,2
1000,Mid,GPUInstancing,1201.17,502.89,0.861,0.242,3,2
5000,Mid,GPUInstancing,347.87,235.18,2.920,0.374,11,2
10000,Mid,GPUInstancing,174.08,144.15,5.770,0.482,21,2
100,High,GPUInstancing,1310.93,406.64,0.844,0.260,2,2
500,High,GPUInstancing,301.22,188.47,3.426,0.281,2,2
1000,High,GPUInstancing,151.36,111.40,6.746,0.520,3,2
5000,High,GPUInstancing,30.27,29.42,33.032,0.659,11,2
10000,High,GPUInstancing,15.19,15.02,65.826,5.236,21,2
100,Low,StaticBatching,1650.19,594.02,0.642,0.333,2,2
500,Low,StaticBatching,1468.28,541.17,0.720,0.390,2,2
1000,Low,StaticBatching,1243.00,532.66,0.834,0.474,2,2
5000,Low,StaticBatching,621.98,349.83,1.635,0.756,6,2
10000,Low,StaticBatching,373.90,282.39,2.689,0.936,11,2
100,Mid,StaticBatching,1642.71,514.86,0.653,0.311,3,2
500,Mid,StaticBatching,1535.76,540.11,0.694,0.206,8,2
1000,Mid,StaticBatching,1323.08,500.25,0.799,0.515,15,2
5000,Mid,StaticBatching,340.33,139.60,3.117,0.361,70,2
10000,Mid,StaticBatching,167.17,136.14,6.011,0.606,138,2
100,High,StaticBatching,1287.43,490.52,0.846,0.274,18,2
500,High,StaticBatching,323.22,137.55,4.164,0.333,85,2
1000,High,StaticBatching,143.54,114.85,7.145,0.328,168,2
5000,High,StaticBatching,40.79,14.13,34.795,2.897,835,2
10000,High,StaticBatching,14.48,13.64,69.091,24.335,1668,2
