N,meshComplexity,renderingMode,repeat,fpsAvg,fps1pcLow,frameTimeMs,mainThreadMs,renderThreadMs,gpuMs,totalReservedMB,gfxReservedMB,gcReservedMB,peakReservedMB,batches,drawCalls,triangles,vertices
100,Low,Baseline,1,1838.71,176.30,0.635,0.630,-1.000,0.476,1008.2,242.2,30.4,1063.8,101,101,11202,5804
100,Low,Baseline,2,1733.72,141.62,0.911,0.906,-1.000,0.652,1023.3,254.7,30.6,1032.7,101,101,11202,5804
100,Low,Baseline,3,1793.54,139.65,0.835,0.830,-1.000,0.557,1021.2,254.4,31.3,1033.6,101,101,11202,5804
500,Low,Baseline,1,1252.06,142.48,1.106,1.103,-1.000,0.689,1032.7,254.5,31.0,1039.5,501,501,56002,29004
500,Low,Baseline,2,1390.78,497.44,0.746,0.743,-1.000,0.554,1032.6,253.9,31.5,1038.0,501,501,56002,29004
500,Low,Baseline,3,1352.64,169.66,0.848,0.843,-1.000,0.601,1034.8,253.9,31.8,1044.3,501,501,56002,29004
1000,Low,Baseline,1,892.14,653.27,1.127,1.122,-1.000,0.826,1055.9,253.9,31.4,1059.5,1001,1001,112002,58004
1000,Low,Baseline,2,867.73,169.83,1.217,1.212,-1.000,0.841,1056.6,253.9,31.0,1059.2,1001,1001,112002,58004
1000,Low,Baseline,3,782.54,138.73,1.655,1.654,-1.000,0.903,1060.1,254.1,30.4,1066.8,1001,1001,112002,58004
5000,Low,Baseline,1,213.38,124.32,4.739,4.749,-1.000,2.041,1219.6,258.4,31.6,1224.5,5001,5001,560002,290004
5000,Low,Baseline,2,216.44,77.59,4.958,4.953,-1.000,2.433,1209.7,261.8,29.2,1242.0,5001,5001,560002,290004
5000,Low,Baseline,3,225.33,189.70,4.443,4.438,-1.000,2.058,1215.4,257.9,29.4,1220.0,5001,5001,560002,290004
10000,Low,Baseline,1,113.96,101.76,8.780,8.774,-1.000,3.687,1411.1,269.9,31.1,1417.7,10001,10001,1120002,580004
10000,Low,Baseline,2,112.63,99.29,8.884,8.879,-1.000,3.726,1419.0,269.9,30.1,1426.5,10001,10001,1120002,580004
